uniq_id,category,sub_cat1,sub_cat2,sub_cat3,sub_cat4
417738df1699ddf326975e4e688b6806,Games,Dice & Dice Games,NA,NA,NA
5eae6a8ba121b904bd26c781aa7e6877,Games,Dice & Dice Games,NA,NA,NA
d20343268c98103a66c00d9d2669bd51,Games,Dice & Dice Games,NA,NA,NA
a98b570a3c11bf3be29c7dcf000bec64,Games,Dice & Dice Games,NA,NA,NA
c6808e9d8e73096a2e894a840f0f9f40,Games,Dice & Dice Games,NA,NA,NA
eff388ea4bfddbbdc1b86cd5738f66e7,Games,Dice & Dice Games,NA,NA,NA
882da528592c470efe9220a9d29f54a0,Games,Dice & Dice Games,NA,NA,NA
c590f34329448ed057c7e9f683fc4281,Games,Dice & Dice Games,NA,NA,NA
63dd57f875d15b127ac8a0f38823bc5e,Games,Dice & Dice Games,NA,NA,NA
74693b80dd8ed04179043ee310c3b2c1,Games,Dice & Dice Games,NA,NA,NA
366443cfc409797e1c0964aa91b47114,Games,Dice & Dice Games,NA,NA,NA
d9287d9cadc38af9a1df54c3a7d0a77d,Games,Dice & Dice Games,NA,NA,NA
3d1eff37d49ccabc9d60cab1cb14db0b,Games,Dice & Dice Games,NA,NA,NA
108c7b73f7e46d8114ec74de453b3069,Games,Dice & Dice Games,NA,NA,NA
c35de26b8a9bef57078b3c403f2389e1,Games,Dice & Dice Games,NA,NA,NA
9cb40e71a47f0949a9a05c8777e4333a,Games,Dice & Dice Games,NA,NA,NA
a904949d92b880508aa0ca19827db3a7,Games,Dice & Dice Games,NA,NA,NA
d28b5b98ce21fd753c5d54fd7983ce96,Games,Dice & Dice Games,NA,NA,NA
9605775a7109798000de91be80fab104,Games,Dice & Dice Games,NA,NA,NA
